% dwellings which are public housing,Distance to GPO (km),Public Housing Dwellings,Equivalent household income <$600/week,"Poor English proficiency, persons",Dwellings with no internet,"Aboriginal or Torres Strait Islander, persons","Holds degree or higher, persons",Population Density
25.526315789473685,154.174009417,485,882,<5,528,96,209,1156.5903025138127
0.2345888179330118,13.227316154,18,1304,463,739,19,7038,2886.197741754057
1.2903225806451613,26.6061029831,24,947,1012,530,28,314,462.4492245762804
,170.937093458,<5,283,<5,186,7,144,1.098721755836085
9.405255878284924,194.550094854,136,613,<5,431,26,228,631.0515419681044
5.295007564296521,114.442157126,70,451,39,218,65,488,424.0958120421656
16.53543307086614,445.983813177,21,52,<5,42,17,6,168.96646574505877
,62.7914494971,<5,71,<5,46,7,38,444.0415913968863
0.2641135688345988,11.0767060213,8,507,168,276,<5,2820,2708.3174184752093
,142.664974052,<5,117,<5,112,<5,88,521.7940223398133
,103.357157126,<5,28,<5,14,<5,88,85.25539957002627
,130.8207934,<5,203,8,120,<5,160,40.88065347065859
,127.742933465,<5,199,7,105,5,173,804.6860213097892
,134.554048455,<5,51,<5,24,12,45,696.8267427638214
4.545454545454546,161.964607628,15,158,<5,85,7,45,187.94135488066243
,3.69715168645,<5,32,<5,13,<5,222,6385.937771746508
2.522935779816514,3.65907085386,77,531,150,321,15,3005,3551.524996963272
20.97416784475003,1.93456604461,1632,3079,734,680,27,4886,8609.036083075276
2.0445851470782217,15.6487988818,155,2036,874,1133,22,5408,4544.446520880978
0.388656974233482,30.129254974,27,1492,966,674,53,3451,2642.5635215898283
,46.0960550391,<5,388,44,242,14,588,132.42936094795957
4.689803028272813,46.7873037883,350,2309,311,1146,179,1279,979.6166547938992
5.033185840707965,47.8496178587,91,521,31,353,17,426,2400.478032103385
,380.191687141,<5,266,<5,172,23,105,0.5241014376870183
0.7112375533428165,363.819073014,5,344,<5,247,15,76,317.61657577028365
0.3443526170798898,126.94604611,10,995,<5,477,37,896,6.260238821980126
5.542725173210162,121.531956597,240,1804,7,1059,123,1455,272.61069668060026
4.028021015761821,15.3521571257,23,179,42,67,<5,404,1029.1013545394912
0.8756841282251759,9.79473440818,56,1261,352,733,15,5229,3671.926745829476
,10.7902810717,<5,52,8,28,<5,174,3715.5032331622033
1.5453005927180357,11.9131571257,73,1043,321,575,12,3437,3640.4372962583975
,11.3470000813,<5,534,189,314,6,1566,3702.38702048962
16.978240882623354,17.133976077899998,554,1039,559,556,29,1892,2713.135149708656
1.9147084421235856,248.521785578,22,503,<5,338,35,166,0.7069814061633188
4.355716878402904,245.578535754,24,232,<5,180,6,56,153.03820967358536
4.5615813482007095,31.5955065639,90,562,121,329,20,590,1682.0246764229082
4.889633975970941,30.7286434784,175,1145,148,783,50,1130,2884.008855945309
,23.2791571257,<5,97,76,20,<5,429,549.602152946932
2.715909090909091,19.8405257879,239,2615,659,1655,46,3831,2105.5344459431885
,289.510022458,<5,259,<5,155,26,222,3.3336908753294674
,290.34254835,<5,199,<5,150,<5,78,155.04775153270884
,40.61939411709999,<5,71,11,29,9,173,68.9622670408848
0.9615384615384616,38.7827812039,30,872,56,434,38,841,1490.7766232000854
,166.793157126,<5,363,<5,205,54,407,7.281032946927668
18.572167615106054,159.890865372,359,769,53,356,62,445,848.8680133351043
,22.159051956200003,<5,52,23,32,<5,58,109.09636165844832
7.467166979362101,25.126193941,199,961,885,534,9,1096,2236.3824440935878
4.110996916752312,22.4101571257,40,322,117,90,5,609,2142.8223634356978
5.604519774011299,24.8580654345,248,1793,1690,954,20,2072,1576.6632858185135
4.098651525904897,21.5448852085,231,2387,1496,916,20,4207,2026.5449424234928
,50.1954570409,<5,24,<5,18,<5,54,147.25371734359982
7.496307237813885,5.38193181186,203,384,151,253,23,2611,3621.605989413946
2.728512960436562,147.256157126,20,355,<5,172,18,123,101.59666850657416
,56.9746020801,<5,49,14,12,<5,31,31.726683653643946
,204.168714481,<5,666,<5,420,39,341,3.66745573026558
6.073446327683616,198.324311565,43,266,<5,215,9,77,422.36841885385536
,252.436683155,<5,532,14,322,27,190,5.179523508393354
15.37838931606637,263.273256429,380,1058,152,765,93,254,555.1422746854834
8.838203848895224,10.3682419421,248,994,533,630,44,1212,1419.3754352846618
3.7391389241433175,8.11539405658,383,3071,2071,1978,80,6047,3822.8545907381817
,72.49923878909999,<5,366,13,157,32,448,27.894841292722347
2.330508474576271,65.9776982322,33,396,<5,149,31,299,612.4087668466137
2.356637863315004,275.659527204,30,504,7,356,23,141,3.587234835019604
7.003089598352214,303.548376335,68,423,<5,290,14,110,589.7178021394315
0.1747030048916841,147.258157126,5,941,<5,617,41,540,3.2174391307185517
10.96474234792716,150.127232007,566,2004,78,1487,94,682,510.13680653883006
1.1513157894736843,45.9923519476,7,183,<5,75,19,81,1510.4194018727617
,355.716866845,<5,260,<5,163,20,123,0.7336939548221388
2.5793650793650795,334.39108910500005,13,252,<5,185,10,33,178.97010837021054
44.896772317534165,3.40096136849,1544,926,593,480,52,2015,5596.329332237494
23.402255639097746,20.4463107652,249,568,473,284,25,117,1066.989809737685
,111.417959391,<5,124,<5,73,8,41,364.02315531295335
1.7114914425427872,65.2578328701,7,136,40,73,21,69,51.65786796516293
22.97611147976112,64.1421513925,1385,2810,568,1581,357,487,813.7928263334835
,110.049868752,<5,217,10,118,<5,36,174.0232600572775
,455.657270624,<5,277,<5,140,36,119,0.3990089979035684
4.159733777038269,441.413701767,25,273,<5,193,17,74,373.5942615410991
,140.25490442,<5,408,<5,192,7,294,41.80178711266293
0.9521920253917874,139.528418126,48,897,32,532,33,402,431.66131351982375
,36.2434307015,<5,92,41,78,7,137,24.37257760053627
3.4766862833861474,43.1002873422,384,3257,1778,1374,251,3189,1034.970870040537
0.2951013181192209,57.5464108008,15,1411,220,714,71,1037,128.69231934307552
0.1669449081803005,53.0465026784,5,862,222,385,45,776,223.28125564711323
,50.2604553277,<5,136,62,54,<5,73,4153.490075641732
6.561526479750778,49.3158354806,337,1471,567,660,147,1236,1480.1588410284644
,53.0708981205,<5,52,<5,23,<5,27,150.07725666324413
10.111095485866969,49.954407134,719,2584,575,1438,189,1120,1529.9907085236443
,45.2343230074,<5,278,227,120,8,919,1676.580818076388
4.381270903010034,49.3401571257,131,1025,319,439,89,487,745.9467873568678
,4.119584375520001,<5,86,32,58,8,690,2505.889471327626
0.9935419771485344,138.125830797,20,786,8,409,45,478,5.740989894175177
9.587888982338098,130.257705144,114,511,9,321,28,266,175.4202009554598
2.616516762060507,78.1326298236,32,392,<5,202,37,145,451.392928588259
3.0997304582210243,33.574649408,23,137,8,39,8,370,2058.7557649368164
1.9434628975265016,33.847325675499995,33,332,31,110,8,828,2365.5784140480946
1.3565891472868217,38.9005171374,28,329,24,131,9,1057,365.8692923627398
2.218988723172062,36.3411571257,61,651,72,278,27,1179,1989.099160038494
9.080654258319234,31.9849911579,161,477,56,255,5,601,2281.2709052803366
4.422486569455104,34.0713227139,461,3287,577,1941,118,3275,1730.0648303328385
,82.0231598643,<5,37,<5,13,6,39,205.39108943336691
19.28769657724329,18.375673690200003,417,1175,1179,602,41,305,2795.794029612848
,126.809869411,<5,67,<5,29,<5,18,498.1398023345794
,39.9116868918,<5,64,34,59,<5,20,17.219653855324054
13.215695952615992,33.262713416400004,1071,3226,2154,1717,144,2191,2411.3001983302447
,39.9116868918,<5,64,34,59,<5,20,17.219653855324054
10.392156862745098,33.677217921099995,1007,4384,4049,2363,87,2617,2453.130532769133
,111.579086606,<5,40,<5,18,<5,27,268.2453009040558
,391.632077607,<5,57,<5,35,<5,8,77.14840128121463
,115.110995365,<5,652,24,322,7,666,6.694135561485192
3.2751091703056767,111.47288544,75,735,21,383,<5,566,191.95389479109875
,9.9991571257,<5,166,86,102,<5,791,2349.919480675325
1.7271157167530224,25.6231571257,20,392,206,322,85,183,570.1573097689301
6.617769628271379,24.9326363862,397,2220,1635,1279,92,1678,2204.0357829864115
23.3640081799591,120.311882213,457,744,13,358,97,322,541.9050760796418
2.793296089385475,27.3404200562,80,1060,961,507,33,725,2503.8570138351984
,24.9201571257,<5,6,5,5,59,39,51.97820039339685
,20.4915994293,<5,406,523,165,22,1031,510.3250498181284
,176.92973415199998,<5,67,<5,52,<5,13,90.44343526986552
3.278688524590164,56.05813884050001,10,88,16,41,<5,38,204.31022350939895
,32.501345326,<5,213,8,87,18,436,101.62581698494311
1.6198704103671706,30.734467851,60,704,51,335,30,1679,1163.287815372457
,34.367803331199994,<5,239,13,119,19,96,630.8062578293627
,330.484448796,<5,99,<5,69,9,40,0.6304890504082448
1.7735334242837653,334.727736202,13,313,<5,247,51,76,449.3269762531422
,26.3347797786,<5,1101,162,594,26,1361,653.8922239691065
,390.7492764910001,<5,9,<5,41,<5,32,239.1885913233517
1.583710407239819,2.7391571257000003,63,441,212,176,18,2207,2212.1438738155102
,66.9547883542,<5,38,<5,15,<5,35,168.07669032730178
,291.933954377,<5,60,<5,26,<5,20,0.3368104131545982
5.481481481481482,283.177146826,37,309,<5,226,13,83,199.79796152047743
1.0083549409392103,23.112442034,105,3098,2155,1478,30,6264,2555.895022146974
0.6020238247726399,17.5621532913,47,2331,1645,1298,21,4641,2225.720378163436
0.8462946020128088,24.4773786909,37,939,449,503,12,2795,1044.9604982378137
,219.967821889,<5,33,<5,25,<5,17,337.4203658113346
,46.7784009841,<5,70,<5,36,<5,136,19.24252884056429
1.0613512813875223,47.7504173207,41,611,75,312,69,1293,888.8721658473271
7.0588235294117645,37.9731732223,12,75,44,41,5,22,1345.040839374646
21.729828850855743,35.4828042396,711,1539,902,862,148,481,2144.0328291233577
0.1531862745098039,82.1754642197,5,747,52,364,29,651,84.81762367465787
2.200791295746785,84.8817579533,89,922,61,548,34,496,835.8988847527162
,87.90613836589999,<5,369,6,203,36,245,7.052364808678721
5.400608519269777,94.7132679862,213,1540,17,871,157,736,474.014390191692
,71.4663368464,<5,57,<5,38,<5,147,2359.045629747125
,94.1388362828,<5,51,<5,29,<5,167,14.480693832348416
0.5991868178900064,94.8019235823,28,1627,16,876,92,1009,1023.5833604263064
3.9145907473309607,268.613988419,11,101,<5,69,<5,59,72.04407744786728
